END,EOL,,ROUTER,,,TYPE,,,SPECS,,,,,,DIMENSIONS (INCHES),,,PORTS / CHANNELS / SLOTS,,,,,,,,,,,,,,PERFORMANCE,,MEMORY MB,,,,THROUGHPUT - MBPS,,MAXIMUM STREAMS / CHANNELS,,,,,,,,FEATURES,,,,,,,,,,
ASR1009-X,OK,2016,Cisco,1000,1009-X,Datacentre,ASR,ASR,XE 3.16.0,,,,,,,,,3,,,,12,,,,,,,,,,,,,8000,,1000,40000,200000,,,,,,,8000,,,,YES,,,YES,,,"$96,943",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/datasheet-c78-731632.html
ASR1013,OK,2016,Cisco,1000,1013,Datacentre,ASR,ASR,,,,,,,,,,6,,,,24,,,,,,,,,,,63,,8000,,1000,40000,200000,,,,,,,8000,,YES,YES,YES,,,YES,,,"$96,943",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/datasheet-c78-731632.html
ASR1002-HX,OK,2016,Cisco,1000,1002-HX,Datacentre,ASR,ASR,XE 16.2.0S,,,,2,,,,,,,8,,,,8,,,,,,,,,,,16000,,4000,1000,1000,,,,,,,8000,,,,YES,,,YES,,,"$115,256",CE,http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/datasheet-c78-731632.html
CRS-8/S-B,OK,2016,Cisco,CRS,8-Slot,Datacentre,CRS,CRS,Cisco XR,,,8,,,,,,40,10/100/1000/10GB,,,8,,,,,,,,,,,,,,,,6400000,6400000,,,,,,,,,,,YES,,,,,,"$165,986",,http://www.cisco.com/c/en/us/products/collateral/routers/carrier-routing-system/CRS-3_8-Slot_DS.html
ASR-9912,OK,2016,Cisco,9000,9912,Service Provider,Edge,ASR,XR 4.3.2,,,,30,,,,,,,,,10,,,,,,,,,,,,,,,,770000,2000000,,,,,,,,,,,,,,YES,,,"$257,927",,http://www.cisco.com/c/en/us/products/collateral/routers/asr-9000-series-aggregation-services-routers/data_sheet_c78-501767.html
CRS-16/S-B,OK,2016,Cisco,CRS,16-Slot,Datacentre,CRS,CRS,Cisco XR,,,16,,,,,,40,10/100/1000/10GB,,,16,,,,,,,,,,,,,,,,12800000,12800000,,,,,,,,,,,YES,,,,,,"$304,419",,http://www.cisco.com/c/en/us/products/collateral/routers/carrier-routing-system/CRS-3_16-Slot_DS.html
NCS1002-K9,OK,2016,Cisco,5500,1002,WAN Aggregation,Network Convergence,,XR 6.0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,YES,,,"$572,369",,http://www.cisco.com/c/en/us/products/collateral/optical-networking/network-convergence-system-1000-series/datasheet-c78-733699.html
CISCO891-K9,EOL,2016,Cisco,890,891,Small Business,ISR,ISR,,,50,,,80,,,,8,10/100,2,10/100/1000,10,,,,,2,,,,,,,512,768,256,256,,,,,,,,,50,,,,,,,,,YES,,,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78-519930.html
CISCO892-K9,EOL,2016,Cisco,890,892,Small Business,ISR,ISR,,,50,,,80,,,,8,10/100,2,10/100/1000,10,,,,,2,,,,,,,512,768,256,256,,,,,,,,,50,,,,,,,,,YES,,,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78-519930.html
CISCO892F-K9,EOL,2014,Cisco,890,892F,Small Business,ISR,ISR,,,50,,,80,,,,8,10/100,2,10/100/1000,10,,1,,,2,,,,,,,512,512,256,256,,,,,,,,,50,,,,,,,,,YES,,,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78-519930.html
C892FSP-K9,OK,2016,Cisco,890,892FSP,Small Business,,,15.2(4)M,,50,,,80,,,,8,10/100/1000,2,10/100/1000,10,,1,,,1,,,,,,,,1000,256,256,,,,,,,,,50,,,,,,,,,YES,"$1,533",,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78-519930.html
C896VA-K9,OK,2016,Cisco,890,896VA,Small Business,,,15.2(4)M1,,50,,,125,,,,8,10/100/1000,1,10/100/1000,9,,1,,,1,,,,,,,,1000,256,256,,,,,,,,,50,,,,,,,,,YES,"$1,661",,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78-519930.html
C897VA-K9,OK,2016,Cisco,890,897VA,Small Business,,,15.2(4)M1,,50,,,125,,,,8,10/100/1000,1,10/100/1000,9,,1,,,1,,,,,,,,1000,256,256,,,,,,,,,50,,,,,,,,,YES,"$1,661",,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78-519930.html
C897VAB-K9,OK,2016,Cisco,890,897VAB,Small Business,,,15.4(3)M1,,50,,,125,,,,8,10/100/1000,1,10/100/1000,9,,1,,,1,,,,,,,,1000,256,256,,,,,,,,,50,,,,,,,,,YES,"$2,078",,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78-519930.html
C898EA-K9,OK,2016,Cisco,890,898EA,Small Business,,,15.2(4)M1,,50,,,125,,,,8,10/100/1000,1,10/100/1000,9,,1,,,1,,,,,,,,1000,256,256,,,,,,,,,50,,,,,,,,,YES,"$1,869",,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78-519930.html
C891F-K9,OK,2016,Cisco,890,891F,Small Business,,,"15.3(3)M2, 15.4(1)T",,50,,,125,,,,8,10/100/1000,2,10/100/1000,10,,1,,,1,,,,,,,,1000,256,256,,,,,,,,,50,,,,,,,,,YES,"$1,453",,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78-519930.html
C891-24X/K9,OK,2016,Cisco,890,891-24X,Small Business,,,15.5(1)T,,50,,,,,,,24,10/100/1000,2,10/100/1000,10,,2,,,1,,,,,,,,1000,256,256,,,,,,,,,50,,,,,,,,,YES,"$3,646",,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78-519930.html
C881-K9,OK,2016,Cisco,880,C881,Small Business,,,12.4(20)T,Advanced Security,20,,,80,,,,4,10/100,,,,,,,,1,,,,,,,,,256,256,,,,,,15,,,20,,YES,YES,YES,,,,,YES,$696,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
C881SRST-K9,EOL,2013,Cisco,880,C881SRST,Small Business,,,12.4(20)T,Advanced IP,20,,,80,,,,4,10/100,,,,,,,,1,,4,1,,,,,,256,256,,,,,,15,,,20,,YES,YES,YES,,,,,YES,,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
CISCO881-K9,EOL,2016,Cisco,880,881,Small Business,,,"12.4(20)T, 15.1(4)M",Advanced IP,20,,,80,,,,4,10/100,,,,,,,,1,,,,,,,,,128,128,,,,,,15,,,20,,YES,YES,YES,3G,,,,YES,,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
C886VA-K9,OK,2016,Cisco,880,C886VA,Small Business,,,15.1(2)T,Advanced Security,20,,,80,,,,4,10/100,,,,,,,,1,,,,,,,,,256,256,,,,,,15,,,20,,YES,YES,YES,,,,,YES,$728,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
C886VAJ-K9,OK,2016,Cisco,880,C886VAJ,Small Business,,,"15.3(3)M2, 15.4(1)T",Advanced Security,20,,,80,,,,4,10/100,,,,,,,,1,,,,,,,,,256,256,,,,,,15,,,20,,YES,YES,YES,,,,,YES,$728,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
CISCO886VA-K9,EOL,2016,Cisco,880,886VA,Small Business,,,15.1(2)T,Advanced Security,20,,,80,,,,4,10/100,,,,,,,,1,,,,,,,,,256,256,,,,,,15,,,20,,YES,YES,YES,3G,,,,YES,,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
CISCO886-K9,EOL,2011,Cisco,880,886,Small Business,,,12.4(22)YB3,Advanced Security,20,,,80,,,,4,10/100,,,,,,,,1,,,,,,,,,128,128,,,,,,15,,,20,,YES,YES,YES,3G,,,,YES,,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
CISCO887-K9,EOL,2011,Cisco,880,C887,Small Business,,,12.4(22)YB3,Advanced Security,20,,,80,,,,4,10/100,,,,,,,,1,,,,,,,,,128,128,,,,,,15,,,20,,YES,YES,YES,,,,,YES,,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
C887VAM-K9,OK,2016,Cisco,880,C887VAM,Small Business,,,"15.3(3)M2, 15.4(1)T",Advanced Security,20,,,80,,,,4,10/100,,,,,,,,1,,,,,,,,,256,256,,,,,,15,,,20,,YES,YES,YES,,,,,YES,$728,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
CISCO887-K9,EOL,2013,Cisco,880,887,Small Business,,,12.4(22)YB3,Advanced Security,20,,,80,,,,4,10/100,,,,,,,,1,,,,,,,,,128,128,,,,,,15,,,20,,YES,YES,YES,3G,,,,YES,,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
CISCO887V-K9,EOL,2016,Cisco,880,887V,Small Business,,,"12.4(22)YB, 12.4(24)T",Advanced Security,20,,,80,,,,4,10/100,,,,,,,,1,,,,,,,,,256,256,,,,,,15,,,20,,YES,YES,YES,3G,,,,YES,,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
C888-K9,OK,2016,Cisco,880,C888,Small Business,,,15.4(2)T,Advanced Security,20,,,80,,,,4,10/100,,,,,,,,1,,,,,,,,,256,256,,,,,,15,,,20,,YES,YES,YES,,,,,YES,$884,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
CISCO888-K9,EOL,2015,Cisco,880,888,Small Business,,,12.4(20)T,Advanced Security,20,,,80,,,,4,10/100,,,,,,,,1,,,,,,,,,128,128,,,,,,15,,,20,,YES,YES,YES,3G,,,,YES,,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
CISCO888E-K9,EOL,2016,Cisco,880,888E,Small Business,,,15.1(1)T,Advanced Security,20,,,80,,,,4,10/100,,,,,,,,1,,,,,,,,,128,128,,,,,,15,,,20,,YES,YES,YES,3G,,,,YES,,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
C888EA-K9,OK,2016,Cisco,880,888EA,Small Business,,,15.2(2)T,Advanced Security,20,,,80,,,,4,10/100,,,,,,,,1,,,,,,,,,128,128,,,,,,15,,,20,,YES,YES,YES,,,,,YES,"$1,354",,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
C881-V-K9,OK,2016,Cisco,880,881V,Small Business,Voice Gateway,,15.1(4)M,Advanced IP,20,,,80,,,,4,10/100,,,,,,,,1,2,4,1,,,,,,256,256,,,,,,15,,,20,,YES,YES,YES,3G,,,,YES,"$1,505",,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
C887VA-V-K9,EOL,2015,Cisco,880,887VA-V,Small Business,Voice Gateway,,15.1(4)M,Advanced IP,20,,,80,,,,4,10/100,,,,,,,,1,2,4,,,,,,,256,256,,,,,,15,,,20,,YES,YES,YES,3G,,,,YES,,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
C888SRST-K9,EOL,2016,Cisco,880,888 SRST,Small Business,Voice Gateway,,12.4(20)T,Advanced IP,20,,,80,,,,4,10/100,,,,,,,,1,1,4,,,,,,,256,256,,,,,,15,,,20,,YES,YES,YES,3G,,,,YES,,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
CISCO887-K9,EOL,2016,Cisco,880,887VA,Small Business,Voice Gateway,,15.1(2)T,Advanced Security,20,,,80,,,,4,10/100,,,,,,,,1,,,,,,,,,256,256,,,,,,15,,,20,,YES,YES,YES,3G,,,,YES,,,http://www.cisco.com/c/en/us/products/collateral/routers/887-integrated-services-router-isr/data_sheet_c78_459542.html
CISCO861-K9,EOL,2013,Cisco,860,861,Small Business,,,"12.4(15)XZ, 12.4(20)T",,5,,,,,,,4,10/100,,,,,,,,,,,,,,,256,256,128,128,,,,,,,,,5,,YES,,YES,,,,,,,,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78_461543.html
CISCO861W-GN-E-K9,EOL,2014,Cisco,860,861W,Small Business,Wireless Router,,"12.4(15)XZ, 12.4(20)T",,5,,,,,,,4,10/100,,,,,,,,,,,,,,,256,256,128,128,,,,,,,,,5,,YES,,YES,,,,,YES,,,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78_461543.html
CISCO867-K9,EOL,2011,Cisco,860,867,Small Business,,,12.4(22)YB3,,5,,,,,,,4,10/100,,,,,,,,,,,,,,,256,256,128,128,,,,,,,,,5,,YES,,YES,,,,,,,,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78_461543.html
CISCO867W-GN-E-K9,EOL,2011,Cisco,860,867W,Small Business,Wireless Router,,12.4(22)YB3,,5,,,,,,,4,10/100,,,,,,,,,,,,,,,256,256,128,128,,,,,,,,,5,,YES,,YES,,,,,YES,,,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/data_sheet_c78_461543.html
NCS-6008-SYS-S,OK,2016,Cisco,5500,6008,WAN Aggregation,Network Convergence,,XR 5.0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,16000000,,,,,,,,,YES,,,,,YES,,,"$574,262",,http://www.cisco.com/c/en/us/products/collateral/routers/network-convergence-system-6000-series-routers/data_sheet_c78-728048.html
CISCO3945/K9   ,OK,2016,Cisco,3900,3945,Branch,ISR,ISR,15.0(1)M,,,,3,,,,,3,10/100/1000,4,10/100/1000,4,2,1,4,,,,,,4,,,1000,2000,256,4000,230,230,1200,350,,1000,,,,,YES,YES,,,,YES,,WLC,"$13,000",CE,http://www.cisco.com/c/en/us/products/routers/3945-integrated-services-router-isr/index.html
C819HG,OK,2016,Cisco,810,819HG,Small Business,Wireless Router,,15.1(4)M1,,3,,,,,,,4,10/100,,10/100/1000,,,,,,,,,,,,,512,512,256,256,0.512,0.512,,,,,,30,20,,YES,YES,,3G,,,,,?,Wireless Router,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/datasheet_C78-728353.html
C819G1,OK,2016,Cisco,810,819G1,Small Business,Wireless Router,,15.1(4)M1,,3,,,,,,,4,10/100,,10/100/1000,,,,,,,,,,,,,512,512,256,256,0.512,0.512,,,,,,30,20,,YES,YES,,3G,,,,,?,Wireless Router,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/datasheet_C78-728353.html
C819HGW,OK,2016,Cisco,810,819HGW,Small Business,Wireless Router,,15.2(4)M1,,10,,,,,,,4,10/100,,10/100/1000,,,,,,,,,,,,,1000,1000,1000,1000,2,2,,,,,,75,20,,YES,YES,,3G,,,,,?,Wireless Router,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/datasheet_C78-728353.html
C819HWD-E-K9,OK,2016,Cisco,810,819HWD,Small Business,Wireless Router,,15.2(4)M1,,10,,,,,,,4,10/100,,10/100/1000,,,,,,,,,,,,,1000,1000,1000,1000,2,2,,,,,,75,20,,YES,YES,,3G,,,,,"$1,638",Wireless Router,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/datasheet_C78-728353.html
C819H-K9,OK,2016,Cisco,810,819H,Small Business,Wireless Router,,15.2(4)M1,,10,,,,,,,4,10/100,,10/100/1000,,,,,,,,,,,,,1000,1000,1000,1000,2,2,,,,,,75,20,,YES,YES,,3G,,,,,"$1,138",Wireless Router,http://www.cisco.com/c/en/us/products/collateral/routers/800-series-routers/datasheet_C78-728353.html
CISCO3925E/K9   ,OK,2016,Cisco,3900,3925E,Branch,ISR,ISR,15.0(1)M,,,,3,,,,,4,10/100/1000,3,10/100/1000,3,3,2,4,,,,,,3,,,1000,2000,256,4000,250,250,1350,400,,2000,,,,,YES,YES,,,,YES,,WLC,"$16,500",,http://www.cisco.com/c/en/us/products/routers/3925-integrated-services-router-isr/index.html
RV325-WB-K9-G5,OK,2016,Cisco,RV,RV325WF,Small Business,RV,,,,,,,,,,,14,10/100/1000,2,10/100/1000,16,16,,,,,,,,,,,,,,,20,100,,,,,,,25,,YES,,,,,,,,$583,,http://www.cisco.com/c/en/us/products/collateral/routers/rv325-dual-gigabit-wan-vpn-router/datasheet-c78-729726.html
RV325-WB-K9-G5,OK,2016,Cisco,RV,RV325,Small Business,RV,,,,,,,,,,,14,10/100/1000,2,10/100/1000,16,16,,,,,,,,,,,,,,,20,100,,,,,,,25,,YES,,,4G,,,,,$583,,http://www.cisco.com/c/en/us/products/collateral/routers/rv325-dual-gigabit-wan-vpn-router/datasheet-c78-729726.html
RV320-WB-K9-G5,OK,2016,Cisco,RV,RV320,Small Business,RV,,,,,,,,,,,4,10/100/1000,2,10/100/1000,6,6,,,,,,,,,,,,,,,20,100,,,,,,,25,,YES,,,4G,,,,,$396,,http://www.cisco.com/c/en/us/products/collateral/routers/rv325-dual-gigabit-wan-vpn-router/datasheet-c78-729726.html
RV320-WB-K9-G5,OK,2016,Cisco,RV,RV320WF,Small Business,RV,,,,,,,,,,,4,10/100/1000,2,10/100/1000,6,6,,,,,,,,,,,,,,,20,100,,,,,,,25,,YES,,,,,,,,$396,,http://www.cisco.com/c/en/us/products/collateral/routers/rv325-dual-gigabit-wan-vpn-router/datasheet-c78-729726.html
RV215W-E-G5-K9,OK,2016,Cisco,RV,RV215W,Small Business,RV,Wireless Router,,,32,,,,,,,4,10/100,1,10/100,,,,,,,,,,,,,,,,,5,90,,,,,,,5,,YES,,YES,4G,,,,YES,?,Wireless Router,http://www.cisco.com/c/en/us/products/collateral/routers/rv215w-wireless-n-vpn-router/data_sheet_c78-712088.html
RV134W,OK,2016,Cisco,RV,RV134W,Small Business,RV,Wireless Router,,,,,,,,,,4,10/100/1000,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,YES,?,Wireless Router,http://www.cisco.com/c/en/us/products/routers/rv134w-vdsl2-wireless-ac-vpn-router/index.html
RV132W,OK,2016,Cisco,RV,RV132W,Small Business,RV,,,,,,,,,,,3,10/100/1000,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,YES,,,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/rv132w-adsl2-plus-wireless-n-vpn-router/index.html
NCS-6008-SYS-S,OK,2016,Cisco,6000,6008,Service Provider,Core,Network Convergence,,,,8,,,,,,,10/100/1000,8,,,,,,,,,,,,,,,,,,8000000,128000000,,,,,,,,,,,YES,,,,,,"$584,959",,http://www.cisco.com/c/en/us/products/collateral/routers/network-convergence-system-6000-series-routers/data_sheet_c78-728048.html?cachemode=refresh
RV130WF,OK,2016,Cisco,RV,RV130WF,Small Business,RV,,,,,,,,,,,4,10/100/1000,1,10/100/1000,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,4G,,,,,?,,http://www.cisco.com/c/en/us/products/routers/rv130-wf-vpn-router/index.html
RV130W-WB-E-K9-G5,OK,2016,Cisco,RV,RV130WNWF,Small Business,RV,Wireless Router,Linux,,,,,,,,,4,10/100/1000,1,10/100/1000,,,,,,,,,,,,,,,,,,,,,,,,,,,YES,,,4G,,,,YES,?,Wireless Router,http://www.cisco.com/c/en/us/products/routers/rv130w-wireless-n-multifunction-wf-vpn-router/index.html
ASR1001-HX,OK,2016,Cisco,1000,1001-HX,Datacentre,ASR,ASR,XE 16.3.1S,,,,1,,,,,8,10/100/1000,4,10/100/1000/10GB,12,,4,,,,,,,,,,,8000,,1000,1000,1000,,,,,,,,,,,,,,YES,,,?,CE,http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/datasheet-c78-731632.html
RV110W-E-G5-K9,OK,2016,Cisco,RV,RV110W,Small Business,RV,Wireless Router,,,,,,,,,,4,10/100,1,10/100,,,,,,,,,,,,,,,,,5,90,,,,,,,6,,YES,,YES,,,,,YES,$119,Wireless Router,http://www.cisco.com/c/en/us/products/collateral/routers/rv110w-wireless-n-vpn-firewall/data_sheet_c78-660141.html
RV042-UK,EOL,2016,Cisco,RV,RV42,Small Business,RV,,,,,,,,,,,4,10/100/1000,2,10/100,,,,,,,,,,,,,,,,,59,100,,,,,,,50,,YES,,,,,,,,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/rv042-dual-wan-vpn-router/data_sheet_c78-501225.html
RV042G,EOL,2016,Cisco,RV,RV42G,Small Business,RV,,,,,,,,,,,4,10/100/1000,2,10/100,,,,,,,,,,,,,,,,,75,800,,,,,,,50,,YES,,,,,,,,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/rv042g-dual-gigabit-wan-vpn-router/data_sheet_c78-706724.html
CRS-4,OK,2016,Cisco,CRS,4-Slot,Datacentre,CRS,CRS,,,,4,,,,,,,,,,4,,,,,,,,,,,,,,,,1120000,1120000,,,,,,,,,,,,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/crs-1-4-slot-single-shelf-system/index.html
CRS-MS,OK,2016,Cisco,CRS,Multishelf,Datacentre,CRS,CRS,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,922000000,922000000,,,,,,,,,,,,,,,,,?,,
12810/800-AC,OK,2016,Cisco,12000,12810,Service Provider,Edge,Edge,Cisco XR,,,10,2,,,,,,,,,10,,,,,,,,,,,,,,,,800000,1280000,,,,,,,,,,,YES,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/12810-router/index.html
XR-12416/320-AC,OK,2016,Cisco,12000,12416,Service Provider,Edge,Edge,Cisco XR,,,10,1,,,,,,,,,16,,,,,,,,,,,,,,,,320000,800000,,,,,,,,,,,YES,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/12416-router/index.html
XR-12410/200-AC,OK,2016,Cisco,12000,12410,Service Provider,Edge,Edge,Cisco XR,,,10,2,,,,,,,,,10,,,,,,,,,,,,,,,,200000,800000,,,,,,,,,,,YES,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/12410-router/index.html
12016-AC,OK,2016,Cisco,12000,12016,Service Provider,Edge,Edge,Cisco XR,,,16,1,,,,,,,,,16,,,,,,,,,,,,,,,,1280000,320000,,,,,,,,,,,YES,,,,,,?,,http://www.cisco.com/c/en/us/products/routers/12016-router/index.html
A900-RSP3C-200,OK,2016,Cisco,903,RSP3C-200,Service Provider,Edge,ASR,3.16.1S,,,,,,,,,48,10/100/1000,48,10/100/1000/10GB,,,,,,,,,,,,,8000,,8000,,,240000,,,,,,,,,,,YES,,,,,,?,,http://www.cisco.com/c/en/us/products/collateral/routers/asr-903-series-aggregation-services-routers/data_sheet_c78-715296.html
RV130,OK,2016,Cisco,RV,RV130WN,Small Business,RV,,,,,,,,,,,4,10/100/1000,1,10/100/1000,,,,,,1,,,,,,,,,,,50,800,,,,,,,10,,YES,,,4G,,,,YES,?,,http://www.cisco.com/c/en/us/products/collateral/routers/small-business-rv-series-routers/datasheet-c78-731522.html
NCS2002,OK,2016,Cisco,5500,2002,WAN Aggregation,Network Convergence,,,,,2,2,,,,,,,,,,5,5,,,14,,,,,,,,,,,,19200000,,,,,,,,,,,,,,YES,,,?,,http://www.cisco.com/c/en/us/products/collateral/optical-networking/network-convergence-system-2000-series/data_sheet_c78-729221.html
NCS2006,OK,2016,Cisco,5500,2006,WAN Aggregation,Network Convergence,,,,,6,6,,,,,,,,,,5,5,,,14,,,,,,,,,,,,19200000,,,,,,,,,,,,,,YES,,,?,,http://www.cisco.com/c/en/us/products/collateral/optical-networking/network-convergence-system-2000-series/data_sheet_c78-729221.html
NCS2015,OK,2016,Cisco,5500,2015,WAN Aggregation,Network Convergence,,,,,15,14,,,,,,,,,,5,5,,,14,,,,,,,,,,,,19200000,,,,,,,,,,,,,,YES,,,?,,http://www.cisco.com/c/en/us/products/collateral/optical-networking/network-convergence-system-2000-series/data_sheet_c78-729221.html
NCS4009,OK,2016,Cisco,5500,4009,WAN Aggregation,Network Convergence,,XR 5.2.0,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,3200000,,,,,,,,,,,,,,YES,,,?,,
NCS4016,OK,2016,Cisco,5500,4016,WAN Aggregation,Network Convergence,,XR 5.2.0,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,3200000,,,,,,,,,,,,,,YES,,,?,,
NCS5001,OK,2016,Cisco,5500,5001,WAN Aggregation,Network Convergence,,XR 6.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,960000,,,,,,,,,,,,,,YES,,,?,,
CISCO7613,OK,2016,Cisco,7600,7613,Datacentre,Router,Router,12.1(13)E,,,,18,,,,,,10/100/1000/10GB,,,13,,,,,,,,,,,400,,,,,720000,720000,,,,,,,,,YES,YES,,,,YES,,,RF,,http://www.cisco.com/c/en/us/products/collateral/routers/7613-router/product_data_sheet09186a008015cfeb.html
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
